n,cluster,length,max_log,stopping_time,event_entropy,event_compression,peak_count,return_count,cycle_count,avg_run_length,max_run_length,up_ratio,unique_values,fractal_like
16385,5,54,4.691585370487775,53,1.518703755288102,0.9801980198019802,1,47,0.0,1.02020202020202,2,0.1485148514851485,54,1.0
40962,6,182,4.788486548560839,181,1.4946481118689985,1.0,1,179,0.0,1.0,1,0.1772853185595568,182,1.0
40964,4,182,4.919627153833269,181,1.5138239385124421,0.997229916897507,2,178,0.0,1.0027777777777778,2,0.1772853185595568,182,1.0
32774,5,55,4.867732579958376,54,1.544946071351598,0.9906542056074766,2,51,0.0,1.009433962264151,2,0.14018691588785046,55,1.0
16391,5,54,5.043931793125701,53,1.6222932757085202,0.9693877551020408,3,42,0.0,1.0315789473684212,3,0.15306122448979592,54,1.0
8204,0,40,3.965342835560622,39,1.4966589455490498,1.0,1,38,0.0,1.0,1,0.1282051282051282,40,1.0
32786,5,55,4.919062394701467,54,1.594558536651509,0.9904761904761905,3,48,0.0,1.0096153846153846,2,0.14285714285714285,55,1.0
49171,5,53,5.344928424020391,52,1.568432441446376,0.9690721649484536,2,43,0.0,1.0319148936170213,3,0.14432989690721648,53,1.0
40980,6,151,4.612582551653833,150,1.4655279116925166,1.0,0,150,0.0,1.0,1,0.17333333333333334,151,1.0
24597,6,158,4.868015166625768,157,1.4965317800238143,0.9968051118210862,1,155,0.0,1.0032051282051282,2,0.1757188498402556,158,1.0
8214,0,40,4.266819454909125,39,1.5686428371192822,0.9868421052631579,2,35,0.0,1.0133333333333334,2,0.13157894736842105,40,1.0
16409,5,98,4.743392160047862,97,1.549965305808629,0.989247311827957,2,87,0.0,1.0108695652173914,2,0.17204301075268819,98,1.0
27,1,112,3.965342835560622,111,1.6261331724389965,0.8222222222222222,15,9,0.0,1.2162162162162162,4,0.3037037037037037,112,1.0
40987,1,89,6.703126314851531,88,1.808368338202604,0.9136690647482014,12,39,0.0,1.094488188976378,5,0.2014388489208633,89,1.0
32799,2,99,5.850823224649963,98,1.681783727501947,0.9532163742690059,6,67,0.0,1.049079754601227,4,0.1871345029239766,99,1.0
49184,6,159,4.691832675725046,158,1.466180441988147,1.0,0,158,0.0,1.0,1,0.17405063291139242,159,1.0
40994,6,151,4.788825681069757,150,1.4960300080452231,1.0,1,148,0.0,1.0,1,0.17391304347826086,151,1.0
38,0,22,1.9493900066449128,21,1.6927577589018712,0.9743589743589743,2,16,0.0,1.0263157894736843,2,0.15384615384615385,22,1.0
32807,3,236,5.398816398669286,235,1.6102679125094945,0.9579207920792079,5,164,0.0,1.0439276485788114,3,0.2103960396039604,236,1.0
16424,0,41,4.215505378231819,40,1.4056390622295665,1.0,0,40,0.0,1.0,1,0.125,41,1.0
16426,0,41,4.391658328722475,40,1.4899695279779017,1.0,1,39,0.0,1.0,1,0.125,41,1.0
16427,4,160,4.868791333198155,159,1.530619895062362,0.9902912621359223,2,148,0.0,1.0098039215686274,2,0.18122977346278318,160,1.0
24619,5,96,5.044496642373874,95,1.549672029244313,0.9835164835164835,2,85,0.0,1.0167597765363128,2,0.17032967032967034,96,1.0
8242,0,66,4.143420785129937,65,1.5481875463025652,1.0,2,62,0.0,1.0,1,0.15503875968992248,66,1.0
49210,6,115,4.868156391036818,114,1.4954165085266498,1.0,1,113,0.0,1.0,1,0.16666666666666666,115,1.0
8253,5,40,4.393768180158745,39,1.5245405075594398,0.9726027397260274,1,33,0.0,1.028169014084507,2,0.136986301369863,40,1.0
49216,0,40,4.692115137949611,39,1.3896749186460426,1.0,0,39,0.0,1.0,1,0.11538461538461539,40,1.0
16458,6,116,4.392503499681746,115,1.4980003154134152,1.0,1,114,0.0,1.0,1,0.16956521739130434,116,1.0
49227,4,159,5.345422745228956,158,1.5229461586135136,0.9935691318327974,2,151,0.0,1.006472491909385,2,0.17684887459807075,159,1.0
76,0,23,1.9493900066449128,22,1.5560579622127313,1.0,1,21,0.0,1.0,1,0.13636363636363635,23,1.0
8271,5,97,4.923000372247522,96,1.6104360447114279,0.9835164835164835,4,82,0.0,1.0167597765363128,3,0.17582417582417584,97,1.0
24655,4,158,5.397315913588432,157,1.5720507333211762,0.9900662251655629,4,141,0.0,1.0100334448160535,3,0.18211920529801323,158,1.0
8273,6,159,4.394819274573398,158,1.505807062840672,0.9935483870967742,1,151,0.0,1.0064935064935066,2,0.18064516129032257,159,1.0
8274,2,97,4.7757487595112496,96,1.6742976618937089,0.9712643678160919,6,72,0.0,1.029585798816568,3,0.1839080459770115,97,1.0
8276,6,128,3.965342835560622,127,1.4986038427452946,1.0,1,126,0.0,1.0,1,0.1732283464566929,128,1.0
32858,0,42,4.692750007059422,41,1.4834484635648977,1.0,1,40,0.0,1.0,1,0.12195121951219512,42,1.0
16476,0,41,4.444185372097158,40,1.5488375407875443,1.0,2,38,0.0,1.0,1,0.125,41,1.0
16477,0,41,4.694016967812791,40,1.5064839579799347,0.987012987012987,1,36,0.0,1.013157894736842,2,0.12987012987012986,41,1.0
103,1,88,3.965342835560622,87,1.7469458999575491,0.8608695652173913,11,17,0.0,1.1616161616161615,4,0.26956521739130435,88,1.0
8296,6,128,3.965342835560622,127,1.4986038427452946,1.0,1,126,0.0,1.0,1,0.1732283464566929,128,1.0
111,1,70,3.965342835560622,69,1.8158844646956673,0.8775510204081632,11,18,0.0,1.1395348837209303,4,0.24489795918367346,70,1.0
24687,3,189,6.255710680135829,188,1.6777679107087125,0.967741935483871,11,142,0.0,1.0333333333333334,4,0.19648093841642228,189,1.0
24689,5,39,4.869636481314028,38,1.4996257852609496,0.9726027397260274,1,34,0.0,1.028169014084507,2,0.1232876712328767,39,1.0
