d,k,c,n,omega,cycle_or_info
2,2,1,214,CYCLIC,[np.int32(-1)]
2,2,1,79,CYCLIC,[np.int32(-1)]
2,2,1,51,CYCLIC,[np.int32(-1)]
2,2,1,1918,CYCLIC,[np.int32(-1)]
2,2,1,1377,CYCLIC,[np.int32(-1)]
2,2,1,39,CYCLIC,[np.int32(-1)]
2,2,1,1268,CYCLIC,[np.int32(-1)]
2,2,1,1659,CYCLIC,[np.int32(-1)]
2,2,1,1437,CYCLIC,[np.int32(-1)]
2,2,1,1161,CYCLIC,[np.int32(-1)]
2,2,1,586,CYCLIC,[np.int32(-1)]
2,2,1,1944,CYCLIC,[np.int32(-1)]
2,2,1,237,CYCLIC,[np.int32(-1)]
2,2,1,1933,CYCLIC,[np.int32(-1)]
2,2,1,238,CYCLIC,[np.int32(-1)]
2,2,1,718,CYCLIC,[np.int32(-1)]
2,2,1,84,CYCLIC,[np.int32(-1)]
2,2,1,167,CYCLIC,[np.int32(-1)]
2,2,1,468,CYCLIC,[np.int32(-1)]
2,2,1,881,CYCLIC,[np.int32(-1)]
2,2,1,365,CYCLIC,[np.int32(-1)]
2,2,1,935,CYCLIC,[np.int32(-1)]
2,2,1,1471,CYCLIC,[np.int32(-1)]
2,2,1,1815,CYCLIC,[np.int32(-1)]
2,2,1,930,CYCLIC,[np.int32(-1)]
2,2,1,827,CYCLIC,[np.int32(-1)]
2,2,1,911,CYCLIC,[np.int32(-1)]
2,2,1,461,CYCLIC,[np.int32(-1)]
2,2,1,11,CYCLIC,[np.int32(-1)]
2,2,1,1234,CYCLIC,[np.int32(-1)]
2,2,1,1158,CYCLIC,[np.int32(-1)]
2,2,1,1325,CYCLIC,[np.int32(-1)]
2,2,1,1633,CYCLIC,[np.int32(-1)]
2,2,1,356,CYCLIC,[np.int32(-1)]
2,2,1,190,CYCLIC,[np.int32(-1)]
2,2,1,678,CYCLIC,[np.int32(-1)]
2,2,1,359,CYCLIC,[np.int32(-1)]
2,2,1,1354,CYCLIC,[np.int32(-1)]
2,2,1,1699,CYCLIC,[np.int32(-1)]
2,2,1,411,CYCLIC,[np.int32(-1)]
2,2,1,1853,CYCLIC,[np.int32(-1)]
2,2,1,984,CYCLIC,[np.int32(-1)]
2,2,1,1372,CYCLIC,[np.int32(-1)]
2,2,1,1274,CYCLIC,[np.int32(-1)]
2,2,1,1837,CYCLIC,[np.int32(-1)]
2,2,1,1501,CYCLIC,[np.int32(-1)]
2,2,1,1765,CYCLIC,[np.int32(-1)]
2,2,1,1135,CYCLIC,[np.int32(-1)]
2,2,1,727,CYCLIC,[np.int32(-1)]
2,2,1,1368,CYCLIC,[np.int32(-1)]
2,2,1,1364,CYCLIC,[np.int32(-1)]
2,2,1,1957,CYCLIC,[np.int32(-1)]
2,2,1,1787,CYCLIC,[np.int32(-1)]
2,2,1,647,CYCLIC,[np.int32(-1)]
2,2,1,474,CYCLIC,[np.int32(-1)]
2,2,1,779,CYCLIC,[np.int32(-1)]
2,2,1,1388,CYCLIC,[np.int32(-1)]
2,2,1,1904,CYCLIC,[np.int32(-1)]
2,2,1,1087,CYCLIC,[np.int32(-1)]
2,2,1,865,CYCLIC,[np.int32(-1)]
2,2,1,1794,CYCLIC,[np.int32(-1)]
2,2,1,821,CYCLIC,[np.int32(-1)]
2,2,1,211,CYCLIC,[np.int32(-1)]
2,2,1,667,CYCLIC,[np.int32(-1)]
2,2,1,1107,CYCLIC,[np.int32(-1)]
2,2,1,1123,CYCLIC,[np.int32(-1)]
2,2,1,727,CYCLIC,[np.int32(-1)]
2,2,1,1245,CYCLIC,[np.int32(-1)]
2,2,1,164,CYCLIC,[np.int32(-1)]
2,2,1,1622,CYCLIC,[np.int32(-1)]
2,2,1,860,CYCLIC,[np.int32(-1)]
2,2,1,1387,CYCLIC,[np.int32(-1)]
2,2,1,117,CYCLIC,[np.int32(-1)]
2,2,1,281,CYCLIC,[np.int32(-1)]
2,2,1,1601,CYCLIC,[np.int32(-1)]
2,2,1,1637,CYCLIC,[np.int32(-1)]
2,2,1,1992,CYCLIC,[np.int32(-1)]
2,2,1,1371,CYCLIC,[np.int32(-1)]
2,2,1,456,CYCLIC,[np.int32(-1)]
2,2,1,1673,CYCLIC,[np.int32(-1)]
2,2,1,387,CYCLIC,[np.int32(-1)]
2,2,1,504,CYCLIC,[np.int32(-1)]
2,2,1,288,CYCLIC,[np.int32(-1)]
2,2,1,1127,CYCLIC,[np.int32(-1)]
2,2,1,795,CYCLIC,[np.int32(-1)]
2,2,1,1936,CYCLIC,[np.int32(-1)]
2,2,1,1479,CYCLIC,[np.int32(-1)]
2,2,1,1012,CYCLIC,[np.int32(-1)]
2,2,1,1814,CYCLIC,[np.int32(-1)]
2,2,1,730,CYCLIC,[np.int32(-1)]
2,2,1,1496,CYCLIC,[np.int32(-1)]
2,2,1,1283,CYCLIC,[np.int32(-1)]
2,2,1,692,CYCLIC,[np.int32(-1)]
2,2,1,1745,CYCLIC,[np.int32(-1)]
2,2,1,706,CYCLIC,[np.int32(-1)]
2,2,1,136,CYCLIC,[np.int32(-1)]
2,2,1,1216,CYCLIC,[np.int32(-1)]
2,2,1,790,CYCLIC,[np.int32(-1)]
2,2,1,1015,CYCLIC,[np.int32(-1)]
2,2,3,1353,CYCLIC,[np.int32(-3)]
2,2,3,308,CYCLIC,[np.int32(-3)]
2,2,3,615,CYCLIC,[np.int32(-3)]
2,2,3,608,CYCLIC,[np.int32(-3)]
2,2,3,1150,CYCLIC,[np.int32(-3)]
2,2,3,1384,CYCLIC,[np.int32(-3)]
2,2,3,1554,CYCLIC,[np.int32(-3)]
2,2,3,1597,CYCLIC,[np.int32(-3)]
2,2,3,160,CYCLIC,[np.int32(-3)]
2,2,3,14,CYCLIC,[np.int32(-3)]
2,2,3,112,CYCLIC,[np.int32(-3)]
2,2,3,1988,CYCLIC,[np.int32(-3)]
2,2,3,471,CYCLIC,[np.int32(-3)]
2,2,3,1386,CYCLIC,[np.int32(-3)]
2,2,3,518,CYCLIC,[np.int32(-3)]
2,2,3,159,CYCLIC,[np.int32(-3)]
2,2,3,1510,CYCLIC,[np.int32(-3)]
2,2,3,1194,CYCLIC,[np.int32(-3)]
2,2,3,407,CYCLIC,[np.int32(-3)]
2,2,3,76,CYCLIC,[np.int32(-3)]
2,2,3,1037,CYCLIC,[np.int32(-3)]
2,2,3,1804,CYCLIC,[np.int32(-3)]
2,2,3,738,CYCLIC,[np.int32(-3)]
2,2,3,75,CYCLIC,[np.int32(-3)]
2,2,3,400,CYCLIC,[np.int32(-3)]
2,2,3,638,CYCLIC,[np.int32(-3)]
2,2,3,502,CYCLIC,[np.int32(-3)]
2,2,3,1801,CYCLIC,[np.int32(-3)]
2,2,3,1485,CYCLIC,[np.int32(-3)]
2,2,3,347,CYCLIC,[np.int32(-3)]
2,2,3,1955,CYCLIC,[np.int32(-3)]
2,2,3,464,CYCLIC,[np.int32(-3)]
2,2,3,209,CYCLIC,[np.int32(-3)]
2,2,3,286,CYCLIC,[np.int32(-3)]
2,2,3,350,CYCLIC,[np.int32(-3)]
2,2,3,1799,CYCLIC,[np.int32(-3)]
2,2,3,1908,CYCLIC,[np.int32(-3)]
2,2,3,102,CYCLIC,[np.int32(-3)]
2,2,3,1804,CYCLIC,[np.int32(-3)]
2,2,3,1056,CYCLIC,[np.int32(-3)]
2,2,3,775,CYCLIC,[np.int32(-3)]
2,2,3,1093,CYCLIC,[np.int32(-3)]
2,2,3,196,CYCLIC,[np.int32(-3)]
2,2,3,1464,CYCLIC,[np.int32(-3)]
2,2,3,1010,CYCLIC,[np.int32(-3)]
2,2,3,1509,CYCLIC,[np.int32(-3)]
2,2,3,588,CYCLIC,[np.int32(-3)]
2,2,3,1330,CYCLIC,[np.int32(-3)]
2,2,3,1336,CYCLIC,[np.int32(-3)]
2,2,3,810,CYCLIC,[np.int32(-3)]
2,2,3,544,CYCLIC,[np.int32(-3)]
2,2,3,1357,CYCLIC,[np.int32(-3)]
2,2,3,771,CYCLIC,[np.int32(-3)]
2,2,3,883,CYCLIC,[np.int32(-3)]
2,2,3,483,CYCLIC,[np.int32(-3)]
2,2,3,1269,CYCLIC,[np.int32(-3)]
2,2,3,1287,CYCLIC,[np.int32(-3)]
2,2,3,748,CYCLIC,[np.int32(-3)]
2,2,3,1033,CYCLIC,[np.int32(-3)]
2,2,3,663,CYCLIC,[np.int32(-3)]
2,2,3,715,CYCLIC,[np.int32(-3)]
2,2,3,530,CYCLIC,[np.int32(-3)]
2,2,3,1472,CYCLIC,[np.int32(-3)]
2,2,3,542,CYCLIC,[np.int32(-3)]
2,2,3,1028,CYCLIC,[np.int32(-3)]
2,2,3,50,CYCLIC,[np.int32(-3)]
2,2,3,1826,CYCLIC,[np.int32(-3)]
2,2,3,50,CYCLIC,[np.int32(-3)]
2,2,3,954,CYCLIC,[np.int32(-3)]
2,2,3,385,CYCLIC,[np.int32(-3)]
2,2,3,1729,CYCLIC,[np.int32(-3)]
2,2,3,1269,CYCLIC,[np.int32(-3)]
2,2,3,137,CYCLIC,[np.int32(-3)]
2,2,3,169,CYCLIC,[np.int32(-3)]
2,2,3,1743,CYCLIC,[np.int32(-3)]
2,2,3,618,CYCLIC,[np.int32(-3)]
2,2,3,541,CYCLIC,[np.int32(-3)]
2,2,3,1114,CYCLIC,[np.int32(-3)]
2,2,3,496,CYCLIC,[np.int32(-3)]
2,2,3,917,CYCLIC,[np.int32(-3)]
2,2,3,652,CYCLIC,[np.int32(-3)]
2,2,3,567,CYCLIC,[np.int32(-3)]
2,2,3,410,CYCLIC,[np.int32(-3)]
2,2,3,1029,CYCLIC,[np.int32(-3)]
2,2,3,549,CYCLIC,[np.int32(-3)]
2,2,3,1610,CYCLIC,[np.int32(-3)]
2,2,3,990,CYCLIC,[np.int32(-3)]
2,2,3,1203,CYCLIC,[np.int32(-3)]
2,2,3,1382,CYCLIC,[np.int32(-3)]
2,2,3,1894,CYCLIC,[np.int32(-3)]
2,2,3,1115,CYCLIC,[np.int32(-3)]
2,2,3,1332,CYCLIC,[np.int32(-3)]
2,2,3,1488,CYCLIC,[np.int32(-3)]
2,2,3,1766,CYCLIC,[np.int32(-3)]
2,2,3,642,CYCLIC,[np.int32(-3)]
2,2,3,1481,CYCLIC,[np.int32(-3)]
2,2,3,1119,CYCLIC,[np.int32(-3)]
2,2,3,669,CYCLIC,[np.int32(-3)]
2,2,3,636,CYCLIC,[np.int32(-3)]
2,2,3,1765,CYCLIC,[np.int32(-3)]
2,2,5,1435,CYCLIC,[np.int32(-5)]
2,2,5,964,CYCLIC,[np.int32(-5)]
2,2,5,1174,CYCLIC,[np.int32(-5)]
2,2,5,452,CYCLIC,[np.int32(-5)]
2,2,5,507,CYCLIC,[np.int32(-5)]
2,2,5,1925,CYCLIC,[np.int32(-5)]
2,2,5,1319,CYCLIC,[np.int32(-5)]
2,2,5,1561,CYCLIC,[np.int32(-5)]
2,2,5,1384,CYCLIC,[np.int32(-5)]
2,2,5,315,CYCLIC,[np.int32(-5)]
2,2,5,1894,CYCLIC,[np.int32(-5)]
2,2,5,1069,CYCLIC,[np.int32(-5)]
2,2,5,68,CYCLIC,[np.int32(-5)]
2,2,5,1506,CYCLIC,[np.int32(-5)]
2,2,5,497,CYCLIC,[np.int32(-5)]
2,2,5,1229,CYCLIC,[np.int32(-5)]
2,2,5,1913,CYCLIC,[np.int32(-5)]
2,2,5,1034,CYCLIC,[np.int32(-5)]
2,2,5,165,CYCLIC,[np.int32(-5)]
2,2,5,882,CYCLIC,[np.int32(-5)]
2,2,5,1926,CYCLIC,[np.int32(-5)]
2,2,5,1677,CYCLIC,[np.int32(-5)]
2,2,5,1090,CYCLIC,[np.int32(-5)]
2,2,5,570,CYCLIC,[np.int32(-5)]
2,2,5,1017,CYCLIC,[np.int32(-5)]
2,2,5,259,CYCLIC,[np.int32(-5)]
2,2,5,43,CYCLIC,[np.int32(-5)]
2,2,5,1996,CYCLIC,[np.int32(-5)]
2,2,5,1009,CYCLIC,[np.int32(-5)]
2,2,5,876,CYCLIC,[np.int32(-5)]
2,2,5,714,CYCLIC,[np.int32(-5)]
2,2,5,651,CYCLIC,[np.int32(-5)]
2,2,5,760,CYCLIC,[np.int32(-5)]
2,2,5,1275,CYCLIC,[np.int32(-5)]
2,2,5,1406,CYCLIC,[np.int32(-5)]
2,2,5,369,CYCLIC,[np.int32(-5)]
2,2,5,324,CYCLIC,[np.int32(-5)]
2,2,5,1317,CYCLIC,[np.int32(-5)]
2,2,5,810,CYCLIC,[np.int32(-5)]
2,2,5,1138,CYCLIC,[np.int32(-5)]
2,2,5,1081,CYCLIC,[np.int32(-5)]
2,2,5,1266,CYCLIC,[np.int32(-5)]
2,2,5,1291,CYCLIC,[np.int32(-5)]
2,2,5,419,CYCLIC,[np.int32(-5)]
2,2,5,252,CYCLIC,[np.int32(-5)]
2,2,5,99,CYCLIC,[np.int32(-5)]
2,2,5,724,CYCLIC,[np.int32(-5)]
2,2,5,560,CYCLIC,[np.int32(-5)]
2,2,5,823,CYCLIC,[np.int32(-5)]
2,2,5,57,CYCLIC,[np.int32(-5)]
2,2,5,155,CYCLIC,[np.int32(-5)]
2,2,5,302,CYCLIC,[np.int32(-5)]
2,2,5,558,CYCLIC,[np.int32(-5)]
2,2,5,498,CYCLIC,[np.int32(-5)]
2,2,5,373,CYCLIC,[np.int32(-5)]
2,2,5,1067,CYCLIC,[np.int32(-5)]
2,2,5,1613,CYCLIC,[np.int32(-5)]
2,2,5,239,CYCLIC,[np.int32(-5)]
2,2,5,1836,CYCLIC,[np.int32(-5)]
2,2,5,550,CYCLIC,[np.int32(-5)]
2,2,5,1944,CYCLIC,[np.int32(-5)]
2,2,5,244,CYCLIC,[np.int32(-5)]
2,2,5,1726,CYCLIC,[np.int32(-5)]
2,2,5,1663,CYCLIC,[np.int32(-5)]
2,2,5,29,CYCLIC,[np.int32(-5)]
2,2,5,1737,CYCLIC,[np.int32(-5)]
2,2,5,1752,CYCLIC,[np.int32(-5)]
2,2,5,849,CYCLIC,[np.int32(-5)]
2,2,5,638,CYCLIC,[np.int32(-5)]
2,2,5,1625,CYCLIC,[np.int32(-5)]
2,2,5,923,CYCLIC,[np.int32(-5)]
2,2,5,816,CYCLIC,[np.int32(-5)]
2,2,5,579,CYCLIC,[np.int32(-5)]
2,2,5,795,CYCLIC,[np.int32(-5)]
2,2,5,52,CYCLIC,[np.int32(-5)]
2,2,5,956,CYCLIC,[np.int32(-5)]
2,2,5,1282,CYCLIC,[np.int32(-5)]
2,2,5,919,CYCLIC,[np.int32(-5)]
2,2,5,1547,CYCLIC,[np.int32(-5)]
2,2,5,1455,CYCLIC,[np.int32(-5)]
2,2,5,311,CYCLIC,[np.int32(-5)]
2,2,5,345,CYCLIC,[np.int32(-5)]
2,2,5,1786,CYCLIC,[np.int32(-5)]
2,2,5,982,CYCLIC,[np.int32(-5)]
2,2,5,961,CYCLIC,[np.int32(-5)]
2,2,5,1333,CYCLIC,[np.int32(-5)]
2,2,5,1501,CYCLIC,[np.int32(-5)]
2,2,5,647,CYCLIC,[np.int32(-5)]
2,2,5,841,CYCLIC,[np.int32(-5)]
2,2,5,1057,CYCLIC,[np.int32(-5)]
2,2,5,551,CYCLIC,[np.int32(-5)]
2,2,5,1400,CYCLIC,[np.int32(-5)]
2,2,5,1155,CYCLIC,[np.int32(-5)]
2,2,5,1735,CYCLIC,[np.int32(-5)]
2,2,5,1240,CYCLIC,[np.int32(-5)]
2,2,5,809,CYCLIC,[np.int32(-5)]
2,2,5,811,CYCLIC,[np.int32(-5)]
2,2,5,1089,CYCLIC,[np.int32(-5)]
2,2,5,1755,CYCLIC,[np.int32(-5)]
2,2,6,1974,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,774,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,141,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,126,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
