node,morphotype
1,1
2,2
4,4
8,1
16,2
32,4
5,5
64,1
10,3
128,2
21,0
20,6
3,3
256,4
6,6
40,5
42,0
512,1
85,1
80,3
13,6
84,0
12,5
1024,2
24,3
26,5
160,6
168,0
170,2
2048,4
341,5
320,5
53,4
336,0
340,4
48,6
52,3
4096,1
640,3
672,0
96,5
680,1
113,1
106,1
682,3
104,6
17,3
8192,2
1365,0
192,3
1280,6
213,3
1344,0
1360,2
208,5
212,2
35,0
1364,6
227,3
226,2
34,6
16384,4
2560,5
384,6
2688,0
70,0
454,6
452,4
75,5
68,5
11,4
2720,4
453,5
416,3
69,6
424,4
2730,0
426,6
2728,5
32768,1
5461,1
5120,3
853,6
5376,0
768,5
904,1
136,3
140,0
23,2
908,5
151,4
5440,1
906,3
138,5
150,3
22,1
848,1
141,1
832,6
5460,0
852,5
5456,3
909,6
65536,2
10240,6
10752,0
1536,3
1808,2
301,0
272,6
45,3
1812,6
276,3
280,0
1816,3
282,2
1818,5
300,6
46,4
302,1
44,2
7,0
10880,2
1813,0
1664,5
277,4
1696,2
10912,6
10920,0
1706,5
10922,2
1704,3
131072,4
21845,5
20480,5
3413,4
21504,0
3072,6
21760,4
3328,3
14,0
3616,4
544,5
3624,5
552,6
3626,0
554,1
3632,6
605,3
560,0
93,2
564,4
3636,3
3392,4
565,5
21824,5
3637,4
21840,0
3408,6
3412,3
21844,4
600,5
602,0
90,6
92,1
15,1
604,2
88,4
262144,1
40960,3
43008,0
6144,5
43520,1
7253,1
6656,6
1109,3
28,0
30,2
7232,1
1205,1
1088,3
181,6
7248,3
1104,5
7252,0
1108,2
7264,5
1120,0
1128,1
7272,6
1130,3
7274,1
6784,1
43648,3
43680,0
6816,5
6824,6
1137,3
6826,1
43690,3
43688,1
7281,1
1200,3
176,1
29,1
1204,0
180,5
184,2
186,4
1210,6
1208,4
201,5
524288,2
87381,0
81920,6
13653,3
86016,0
87040,2
12288,3
13312,5
13568,2
2261,0
87296,6
14549,3
56,0
9,2
58,2
60,4
87360,0
13632,3
13648,5
87376,2
13652,2
2275,0
87380,6
14563,3
2400,6
352,2
2408,0
401,2
2410,2
362,5
360,3
368,4
61,5
2416,1
372,1
2420,5
403,4
14464,2
2176,6
402,3
14496,6
2208,3
14504,0
2417,2
14506,2
2218,6
2216,4
369,5
14528,3
2421,6
2240,0
373,2
2256,2
14544,5
2260,6
14548,2
2274,6
14562,2
1048576,4
163840,5
172032,0
174080,4
29013,5
24576,6
26624,3
4437,6
27136,4
174592,5
28928,4
4821,5
18,4
802,4
804,6
806,1
28992,5
4416,6
29008,0
4432,1
29012,4
4835,5
4436,5
739,4
112,0
116,4
19,5
120,1
122,3
174720,0
27264,6
29056,6
4480,0
4352,5
725,4
27296,3
4549,6
174752,4
29125,5
4512,4
29088,3
27304,4
27306,6
174762,0
4522,0
29098,6
174760,5
4520,5
753,4
29096,4
4849,5
4800,5
704,4
117,5
4548,5
4550,0
29126,6
29124,4
4816,0
720,6
4820,4
803,5
724,3
736,1
4832,2
805,0
4834,4
738,3
744,2
4840,3
4842,5
746,4
