r,v,rank,rank_next,tau,efficiency,next_r,next_v
0,3,14,13,1,1,32768,3
1,0,0,0,0,0,-1,-1
2,1,0,0,0,0,-1,-1
3,0,5,4,1,1,10,1
4,2,0,0,0,0,-1,-1
5,0,3,2,1,1,16,3
6,1,6,5,1,1,3,0
7,0,14,13,1,1,22,1
8,3,1,0,1,1,4,2
9,0,17,16,1,1,28,2
10,1,4,3,1,1,5,0
11,0,12,11,1,1,34,1
12,2,7,6,1,1,6,1
13,0,7,6,1,1,40,3
14,1,15,14,1,1,7,0
15,0,15,14,1,1,46,1
16,3,2,1,1,1,8,3
17,0,10,9,1,1,52,2
18,1,18,17,1,1,9,0
19,0,18,17,1,1,58,1
20,2,5,4,1,1,10,1
21,0,5,4,1,1,64,3
22,1,13,12,1,1,11,0
23,0,13,12,1,1,70,1
24,3,8,7,1,1,12,2
25,0,21,20,1,1,76,2
26,1,8,7,1,1,13,0
27,0,109,108,1,1,82,1
28,2,16,15,1,1,14,1
29,0,16,15,1,1,88,3
30,1,16,15,1,1,15,0
31,0,104,103,1,1,94,1
32,3,3,2,1,1,16,3
33,0,24,23,1,1,100,2
34,1,11,10,1,1,17,0
35,0,11,10,1,1,106,1
36,2,19,18,1,1,18,1
37,0,19,18,1,1,112,3
38,1,19,18,1,1,19,0
39,0,32,31,1,1,118,1
40,3,6,5,1,1,20,2
41,0,107,106,1,1,124,2
42,1,6,5,1,1,21,0
43,0,27,26,1,1,130,1
44,2,14,13,1,1,22,1
45,0,14,13,1,1,136,3
46,1,14,13,1,1,23,0
47,0,102,101,1,1,142,1
48,3,9,8,1,1,24,3
49,0,22,21,1,1,148,2
50,1,22,21,1,1,25,0
51,0,22,21,1,1,154,1
52,2,9,8,1,1,26,1
53,0,9,8,1,1,160,3
54,1,110,109,1,1,27,0
55,0,110,109,1,1,166,1
56,3,17,16,1,1,28,2
57,0,30,29,1,1,172,2
58,1,17,16,1,1,29,0
59,0,30,29,1,1,178,1
60,2,17,16,1,1,30,1
61,0,17,16,1,1,184,3
62,1,105,104,1,1,31,0
63,0,105,104,1,1,190,1
64,3,4,3,1,1,32,3
65,0,25,24,1,1,196,2
66,1,25,24,1,1,33,0
67,0,25,24,1,1,202,1
68,2,12,11,1,1,34,1
69,0,12,11,1,1,208,3
70,1,12,11,1,1,35,0
71,0,100,99,1,1,214,1
72,3,20,19,1,1,36,2
