r,v
0,3
1,0
2,1
4,2
6,1
8,3
10,1
12,2
14,1
16,3
18,1
20,2
22,1
24,3
26,1
28,2
30,1
32,3
34,1
36,2
38,1
40,3
42,1
44,2
46,1
48,3
50,1
52,2
54,1
56,3
58,1
60,2
62,1
64,3
66,1
68,2
70,1
72,3
74,1
76,2
78,1
80,3
82,1
84,2
86,1
88,3
90,1
92,2
94,1
96,3
98,1
100,2
102,1
104,3
106,1
108,2
110,1
112,3
114,1
116,2
118,1
120,3
122,1
124,2
126,1
128,3
130,1
132,2
134,1
136,3
138,1
140,2
142,1
144,3
146,1
148,2
150,1
152,3
154,1
156,2
158,1
160,3
162,1
164,2
166,1
168,3
170,1
172,2
174,1
176,3
178,1
180,2
182,1
184,3
186,1
188,2
190,1
192,3
194,1
196,2
198,1
200,3
202,1
204,2
206,1
208,3
210,1
212,2
214,1
216,3
218,1
220,2
222,1
224,3
226,1
228,2
230,1
232,3
234,1
236,2
238,1
240,3
242,1
244,2
246,1
248,3
250,1
252,2
254,1
256,3
258,1
260,2
262,1
264,3
266,1
268,2
270,1
272,3
274,1
276,2
278,1
280,3
282,1
284,2
286,1
288,3
290,1
292,2
294,1
296,3
298,1
300,2
302,1
304,3
306,1
308,2
310,1
312,3
314,1
316,2
318,1
320,3
322,1
324,2
326,1
328,3
330,1
332,2
334,1
336,3
338,1
340,2
342,1
344,3
346,1
348,2
350,1
352,3
354,1
356,2
358,1
360,3
362,1
364,2
366,1
368,3
370,1
372,2
374,1
376,3
378,1
380,2
382,1
384,3
386,1
388,2
390,1
392,3
394,1
396,2
398,1
400,3
402,1
404,2
406,1
408,3
410,1
412,2
414,1
416,3
418,1
420,2
422,1
424,3
426,1
428,2
430,1
432,3
434,1
436,2
438,1
440,3
442,1
444,2
446,1
448,3
450,1
452,2
454,1
456,3
458,1
460,2
462,1
464,3
466,1
468,2
470,1
472,3
474,1
476,2
478,1
480,3
482,1
484,2
486,1
488,3
490,1
492,2
494,1
496,3
498,1
500,2
502,1
504,3
506,1
508,2
510,1
512,3
514,1
516,2
518,1
520,3
522,1
524,2
526,1
528,3
530,1
532,2
534,1
536,3
538,1
540,2
542,1
544,3
546,1
548,2
550,1
552,3
554,1
556,2
558,1
560,3
562,1
564,2
566,1
568,3
570,1
572,2
574,1
576,3
578,1
580,2
582,1
584,3
586,1
588,2
590,1
592,3
594,1
596,2
598,1
600,3
602,1
604,2
606,1
608,3
610,1
612,2
614,1
616,3
618,1
620,2
622,1
624,3
626,1
628,2
630,1
632,3
634,1
636,2
638,1
640,3
642,1
644,2
646,1
648,3
650,1
652,2
654,1
656,3
658,1
660,2
662,1
664,3
666,1
668,2
670,1
672,3
674,1
676,2
678,1
680,3
682,1
684,2
686,1
688,3
690,1
692,2
694,1
696,3
698,1
700,2
702,1
704,3
706,1
708,2
710,1
712,3
714,1
716,2
718,1
720,3
722,1
724,2
726,1
728,3
730,1
732,2
734,1
736,3
738,1
740,2
742,1
744,3
746,1
748,2
750,1
752,3
754,1
756,2
758,1
760,3
762,1
764,2
766,1
768,3
770,1
772,2
774,1
776,3
778,1
780,2
782,1
784,3
786,1
788,2
790,1
792,3
794,1
796,2
798,1
800,3
802,1
804,2
806,1
808,3
810,1
812,2
814,1
816,3
818,1
820,2
822,1
824,3
826,1
828,2
830,1
832,3
834,1
836,2
838,1
840,3
842,1
844,2
846,1
848,3
850,1
852,2
854,1
856,3
858,1
860,2
862,1
864,3
866,1
868,2
870,1
872,3
874,1
876,2
878,1
880,3
882,1
884,2
886,1
888,3
890,1
892,2
894,1
896,3
898,1
900,2
902,1
904,3
906,1
908,2
910,1
912,3
914,1
916,2
918,1
920,3
922,1
924,2
926,1
928,3
930,1
932,2
934,1
936,3
938,1
940,2
942,1
944,3
946,1
948,2
950,1
952,3
954,1
956,2
958,1
960,3
962,1
964,2
966,1
968,3
970,1
972,2
974,1
976,3
978,1
980,2
982,1
984,3
986,1
988,2
990,1
992,3
994,1
996,2
998,1
1000,3
1002,1
1004,2
1006,1
1008,3
1010,1
1012,2
1014,1
1016,3
1018,1
1020,2
1022,1
1024,3
1026,1
1028,2
1030,1
1032,3
1034,1
1036,2
1038,1
1040,3
1042,1
1044,2
1046,1
1048,3
1050,1
1052,2
1054,1
1056,3
1058,1
1060,2
1062,1
1064,3
1066,1
1068,2
1070,1
1072,3
1074,1
1076,2
1078,1
1080,3
1082,1
1084,2
1086,1
1088,3
1090,1
1092,2
1094,1
1096,3
1098,1
1100,2
1102,1
1104,3
1106,1
1108,2
1110,1
1112,3
1114,1
1116,2
1118,1
1120,3
1122,1
1124,2
1126,1
1128,3
1130,1
1132,2
1134,1
1136,3
1138,1
1140,2
1142,1
1144,3
1146,1
1148,2
1150,1
1152,3
1154,1
1156,2
1158,1
1160,3
1162,1
1164,2
1166,1
1168,3
1170,1
1172,2
1174,1
1176,3
1178,1
1180,2
1182,1
1184,3
1186,1
1188,2
1190,1
1192,3
1194,1
1196,2
1198,1
1200,3
1202,1
1204,2
1206,1
1208,3
1210,1
1212,2
1214,1
1216,3
1218,1
1220,2
1222,1
1224,3
1226,1
1228,2
1230,1
1232,3
1234,1
1236,2
1238,1
1240,3
1242,1
1244,2
1246,1
1248,3
1250,1
1252,2
1254,1
1256,3
1258,1
1260,2
1262,1
1264,3
1266,1
1268,2
1270,1
1272,3
1274,1
1276,2
1278,1
1280,3
1282,1
1284,2
1286,1
1288,3
1290,1
1292,2
1294,1
1296,3
1298,1
1300,2
1302,1
1304,3
1306,1
1308,2
1310,1
1312,3
1314,1
1316,2
1318,1
1320,3
1322,1
1324,2
1326,1
1328,3
1330,1
1332,2
1334,1
1336,3
1338,1
1340,2
1342,1
1344,3
1346,1
1348,2
1350,1
1352,3
1354,1
1356,2
1358,1
1360,3
1362,1
1364,2
1366,1
1368,3
1370,1
1372,2
1374,1
1376,3
1378,1
1380,2
1382,1
1384,3
1386,1
1388,2
1390,1
1392,3
1394,1
1396,2
1398,1
1400,3
1402,1
1404,2
1406,1
1408,3
1410,1
1412,2
1414,1
1416,3
1418,1
1420,2
1422,1
1424,3
1426,1
1428,2
1430,1
1432,3
1434,1
1436,2
1438,1
1440,3
1442,1
1444,2
1446,1
1448,3
1450,1
1452,2
1454,1
1456,3
1458,1
1460,2
1462,1
1464,3
1466,1
1468,2
1470,1
1472,3
1474,1
1476,2
1478,1
1480,3
1482,1
1484,2
1486,1
1488,3
1490,1
1492,2
1494,1
1496,3
1498,1
1500,2
1502,1
1504,3
1506,1
1508,2
1510,1
1512,3
1514,1
1516,2
1518,1
1520,3
1522,1
1524,2
1526,1
1528,3
1530,1
1532,2
1534,1
1536,3
1538,1
1540,2
1542,1
1544,3
1546,1
1548,2
1550,1
1552,3
1554,1
1556,2
1558,1
1560,3
1562,1
1564,2
1566,1
1568,3
1570,1
1572,2
1574,1
1576,3
1578,1
1580,2
1582,1
1584,3
1586,1
1588,2
1590,1
1592,3
1594,1
1596,2
1598,1
1600,3
1602,1
1604,2
1606,1
1608,3
1610,1
1612,2
1614,1
1616,3
1618,1
1620,2
1622,1
1624,3
1626,1
1628,2
1630,1
1632,3
1634,1
1636,2
1638,1
1640,3
1642,1
1644,2
1646,1
1648,3
1650,1
1652,2
1654,1
1656,3
1658,1
1660,2
1662,1
1664,3
1666,1
1668,2
1670,1
1672,3
1674,1
1676,2
1678,1
1680,3
1682,1
1684,2
1686,1
1688,3
1690,1
1692,2
1694,1
1696,3
1698,1
1700,2
1702,1
1704,3
1706,1
1708,2
1710,1
1712,3
1714,1
1716,2
1718,1
1720,3
1722,1
1724,2
1726,1
1728,3
1730,1
1732,2
1734,1
1736,3
1738,1
1740,2
1742,1
1744,3
1746,1
1748,2
1750,1
1752,3
1754,1
1756,2
1758,1
1760,3
1762,1
1764,2
1766,1
1768,3
1770,1
1772,2
1774,1
1776,3
1778,1
1780,2
1782,1
1784,3
1786,1
1788,2
1790,1
1792,3
1794,1
1796,2
1798,1
1800,3
1802,1
1804,2
1806,1
1808,3
1810,1
1812,2
1814,1
1816,3
1818,1
1820,2
1822,1
1824,3
1826,1
1828,2
1830,1
1832,3
1834,1
1836,2
1838,1
1840,3
1842,1
1844,2
1846,1
1848,3
1850,1
1852,2
1854,1
1856,3
1858,1
1860,2
1862,1
1864,3
1866,1
1868,2
1870,1
1872,3
1874,1
1876,2
1878,1
1880,3
1882,1
1884,2
1886,1
1888,3
1890,1
1892,2
1894,1
1896,3
1898,1
1900,2
1902,1
1904,3
1906,1
1908,2
1910,1
1912,3
1914,1
1916,2
1918,1
1920,3
1922,1
1924,2
1926,1
1928,3
1930,1
1932,2
1934,1
1936,3
1938,1
1940,2
1942,1
1944,3
1946,1
1948,2
1950,1
1952,3
1954,1
1956,2
1958,1
1960,3
1962,1
1964,2
1966,1
1968,3
1970,1
1972,2
1974,1
1976,3
1978,1
1980,2
1982,1
1984,3
1986,1
1988,2
1990,1
1992,3
1994,1
1996,2
1998,1
2000,3
2002,1
2004,2
2006,1
2008,3
2010,1
2012,2
2014,1
2016,3
2018,1
2020,2
2022,1
2024,3
2026,1
2028,2
2030,1
2032,3
2034,1
2036,2
2038,1
2040,3
2042,1
2044,2
2046,1
2048,3
2050,1
2052,2
2054,1
2056,3
2058,1
2060,2
2062,1
2064,3
2066,1
2068,2
2070,1
2072,3
2074,1
2076,2
2078,1
2080,3
2082,1
2084,2
2086,1
2088,3
2090,1
2092,2
2094,1
2096,3
2098,1
2100,2
2102,1
2104,3
2106,1
2108,2
2110,1
2112,3
2114,1
2116,2
2118,1
2120,3
2122,1
2124,2
2126,1
2128,3
2130,1
2132,2
2134,1
2136,3
2138,1
2140,2
2142,1
2144,3
2146,1
2148,2
2150,1
2152,3
2154,1
2156,2
2158,1
2160,3
2162,1
2164,2
2166,1
2168,3
2170,1
2172,2
2174,1
2176,3
2178,1
2180,2
2182,1
2184,3
2186,1
2188,2
2190,1
2192,3
2194,1
2196,2
2198,1
2200,3
2202,1
2204,2
2206,1
2208,3
2210,1
2212,2
2214,1
2216,3
2218,1
2220,2
2222,1
2224,3
2226,1
2228,2
2230,1
2232,3
2234,1
2236,2
2238,1
2240,3
2242,1
2244,2
2246,1
2248,3
2250,1
2252,2
2254,1
2256,3
2258,1
2260,2
2262,1
2264,3
2266,1
2268,2
2270,1
2272,3
2274,1
2276,2
2278,1
2280,3
2282,1
2284,2
2286,1
2288,3
2290,1
2292,2
2294,1
2296,3
2298,1
2300,2
2302,1
2304,3
2306,1
2308,2
2310,1
2312,3
2314,1
2316,2
2318,1
2320,3
2322,1
2324,2
2326,1
2328,3
2330,1
2332,2
2334,1
2336,3
2338,1
2340,2
2342,1
2344,3
2346,1
2348,2
2350,1
2352,3
2354,1
2356,2
2358,1
2360,3
2362,1
2364,2
2366,1
2368,3
2370,1
2372,2
2374,1
2376,3
2378,1
2380,2
2382,1
2384,3
2386,1
2388,2
2390,1
2392,3
2394,1
2396,2
2398,1
2400,3
2402,1
2404,2
2406,1
2408,3
2410,1
2412,2
2414,1
2416,3
2418,1
2420,2
2422,1
2424,3
2426,1
2428,2
2430,1
2432,3
2434,1
2436,2
2438,1
2440,3
2442,1
2444,2
2446,1
2448,3
2450,1
2452,2
2454,1
2456,3
2458,1
2460,2
2462,1
2464,3
2466,1
2468,2
2470,1
2472,3
2474,1
2476,2
2478,1
2480,3
2482,1
2484,2
2486,1
2488,3
2490,1
2492,2
2494,1
2496,3
2498,1
2500,2
2502,1
2504,3
2506,1
2508,2
2510,1
2512,3
2514,1
2516,2
2518,1
2520,3
2522,1
2524,2
2526,1
2528,3
2530,1
2532,2
2534,1
2536,3
2538,1
2540,2
2542,1
2544,3
2546,1
2548,2
2550,1
2552,3
2554,1
2556,2
2558,1
2560,3
2562,1
2564,2
2566,1
2568,3
2570,1
2572,2
2574,1
2576,3
2578,1
2580,2
2582,1
2584,3
2586,1
2588,2
2590,1
2592,3
2594,1
2596,2
2598,1
2600,3
2602,1
2604,2
2606,1
2608,3
2610,1
2612,2
2614,1
2616,3
2618,1
2620,2
2622,1
2624,3
2626,1
2628,2
2630,1
2632,3
2634,1
2636,2
2638,1
2640,3
2642,1
2644,2
2646,1
2648,3
2650,1
2652,2
2654,1
2656,3
2658,1
2660,2
2662,1
2664,3
2666,1
2668,2
2670,1
2672,3
2674,1
2676,2
2678,1
2680,3
2682,1
2684,2
2686,1
2688,3
2690,1
2692,2
2694,1
2696,3
2698,1
2700,2
2702,1
2704,3
2706,1
2708,2
2710,1
2712,3
2714,1
2716,2
2718,1
2720,3
2722,1
2724,2
2726,1
2728,3
2730,1
2732,2
2734,1
2736,3
2738,1
2740,2
2742,1
2744,3
2746,1
2748,2
2750,1
2752,3
2754,1
2756,2
2758,1
2760,3
2762,1
2764,2
2766,1
2768,3
2770,1
2772,2
2774,1
2776,3
2778,1
2780,2
2782,1
2784,3
2786,1
2788,2
2790,1
2792,3
2794,1
2796,2
2798,1
2800,3
2802,1
2804,2
2806,1
2808,3
2810,1
2812,2
2814,1
2816,3
2818,1
2820,2
2822,1
2824,3
2826,1
2828,2
2830,1
2832,3
2834,1
2836,2
2838,1
2840,3
2842,1
2844,2
2846,1
2848,3
2850,1
2852,2
2854,1
2856,3
2858,1
2860,2
2862,1
2864,3
2866,1
2868,2
2870,1
2872,3
2874,1
2876,2
2878,1
2880,3
2882,1
2884,2
2886,1
2888,3
2890,1
2892,2
2894,1
2896,3
2898,1
2900,2
2902,1
2904,3
2906,1
2908,2
2910,1
2912,3
2914,1
2916,2
2918,1
2920,3
2922,1
2924,2
2926,1
2928,3
2930,1
2932,2
2934,1
2936,3
2938,1
2940,2
2942,1
2944,3
2946,1
2948,2
2950,1
2952,3
2954,1
2956,2
2958,1
2960,3
2962,1
2964,2
2966,1
2968,3
2970,1
2972,2
2974,1
2976,3
2978,1
2980,2
2982,1
2984,3
2986,1
2988,2
2990,1
2992,3
2994,1
2996,2
2998,1
3000,3
3002,1
3004,2
3006,1
3008,3
3010,1
3012,2
3014,1
3016,3
3018,1
3020,2
3022,1
3024,3
3026,1
3028,2
3030,1
3032,3
3034,1
3036,2
3038,1
3040,3
3042,1
3044,2
3046,1
3048,3
3050,1
3052,2
3054,1
3056,3
3058,1
3060,2
3062,1
3064,3
3066,1
3068,2
3070,1
3072,3
3074,1
3076,2
3078,1
3080,3
3082,1
3084,2
3086,1
3088,3
3090,1
3092,2
3094,1
3096,3
3098,1
3100,2
3102,1
3104,3
3106,1
3108,2
3110,1
3112,3
3114,1
3116,2
3118,1
3120,3
3122,1
3124,2
3126,1
3128,3
3130,1
3132,2
3134,1
3136,3
3138,1
3140,2
3142,1
3144,3
3146,1
3148,2
3150,1
3152,3
3154,1
3156,2
3158,1
3160,3
3162,1
3164,2
3166,1
3168,3
3170,1
3172,2
3174,1
3176,3
3178,1
3180,2
3182,1
3184,3
3186,1
3188,2
3190,1
3192,3
3194,1
3196,2
3198,1
3200,3
3202,1
3204,2
3206,1
3208,3
3210,1
3212,2
3214,1
3216,3
3218,1
3220,2
3222,1
3224,3
3226,1
3228,2
3230,1
3232,3
3234,1
3236,2
3238,1
3240,3
3242,1
3244,2
3246,1
3248,3
3250,1
3252,2
3254,1
3256,3
3258,1
3260,2
3262,1
3264,3
3266,1
3268,2
3270,1
3272,3
3274,1
3276,2
3278,1
3280,3
3282,1
3284,2
3286,1
3288,3
3290,1
3292,2
3294,1
3296,3
3298,1
3300,2
3302,1
