q,n_start,steps_to_graph,on_graph
0,40479,0,True
1,106015,0,True
2,171551,0,True
3,237087,0,True
4,302623,0,True
5,368159,0,True
6,433695,0,True
7,499231,0,True
8,564767,0,True
9,630303,0,True
10,695839,0,True
11,761375,0,True
12,826911,0,True
13,892447,0,True
14,957983,0,True
15,1023519,0,True
16,1089055,0,True
17,1154591,0,True
18,1220127,0,True
19,1285663,0,True
20,1351199,0,True
21,1416735,0,True
22,1482271,0,True
23,1547807,0,True
24,1613343,0,True
25,1678879,0,True
26,1744415,0,True
27,1809951,0,True
28,1875487,0,True
29,1941023,0,True
30,2006559,0,True
31,2072095,0,True
32,2137631,0,True
33,2203167,0,True
34,2268703,0,True
35,2334239,0,True
36,2399775,0,True
37,2465311,0,True
38,2530847,0,True
39,2596383,0,True
40,2661919,0,True
41,2727455,0,True
42,2792991,0,True
43,2858527,0,True
44,2924063,0,True
45,2989599,0,True
46,3055135,0,True
47,3120671,0,True
48,3186207,0,True
49,3251743,0,True
50,3317279,0,True
51,3382815,0,True
52,3448351,0,True
53,3513887,0,True
54,3579423,0,True
55,3644959,0,True
56,3710495,0,True
57,3776031,0,True
58,3841567,0,True
59,3907103,0,True
60,3972639,0,True
61,4038175,0,True
62,4103711,0,True
63,4169247,0,True
64,4234783,0,True
65,4300319,0,True
66,4365855,0,True
67,4431391,0,True
68,4496927,0,True
69,4562463,0,True
70,4627999,0,True
71,4693535,0,True
72,4759071,0,True
73,4824607,0,True
74,4890143,0,True
75,4955679,0,True
76,5021215,0,True
77,5086751,0,True
78,5152287,0,True
79,5217823,0,True
80,5283359,0,True
81,5348895,0,True
82,5414431,0,True
83,5479967,0,True
84,5545503,0,True
85,5611039,0,True
86,5676575,0,True
87,5742111,0,True
88,5807647,0,True
89,5873183,0,True
90,5938719,0,True
91,6004255,0,True
92,6069791,0,True
93,6135327,0,True
94,6200863,0,True
95,6266399,0,True
96,6331935,0,True
97,6397471,0,True
98,6463007,0,True
99,6528543,0,True
100,6594079,0,True
101,6659615,0,True
102,6725151,0,True
103,6790687,0,True
104,6856223,0,True
105,6921759,0,True
106,6987295,0,True
107,7052831,0,True
108,7118367,0,True
109,7183903,0,True
110,7249439,0,True
111,7314975,0,True
112,7380511,0,True
113,7446047,0,True
114,7511583,0,True
115,7577119,0,True
116,7642655,0,True
117,7708191,0,True
118,7773727,0,True
119,7839263,0,True
120,7904799,0,True
121,7970335,0,True
122,8035871,0,True
123,8101407,0,True
124,8166943,0,True
125,8232479,0,True
126,8298015,0,True
127,8363551,0,True
128,8429087,0,True
129,8494623,0,True
130,8560159,0,True
131,8625695,0,True
132,8691231,0,True
133,8756767,0,True
134,8822303,0,True
135,8887839,0,True
136,8953375,0,True
137,9018911,0,True
138,9084447,0,True
139,9149983,0,True
140,9215519,0,True
141,9281055,0,True
142,9346591,0,True
143,9412127,0,True
144,9477663,0,True
145,9543199,0,True
146,9608735,0,True
147,9674271,0,True
148,9739807,0,True
149,9805343,0,True
150,9870879,0,True
151,9936415,0,True
152,10001951,0,True
153,10067487,0,True
154,10133023,0,True
155,10198559,0,True
156,10264095,0,True
157,10329631,0,True
158,10395167,0,True
159,10460703,0,True
160,10526239,0,True
161,10591775,0,True
162,10657311,0,True
163,10722847,0,True
164,10788383,0,True
165,10853919,0,True
166,10919455,0,True
167,10984991,0,True
168,11050527,0,True
169,11116063,0,True
170,11181599,0,True
171,11247135,0,True
172,11312671,0,True
173,11378207,0,True
174,11443743,0,True
175,11509279,0,True
176,11574815,0,True
177,11640351,0,True
178,11705887,0,True
179,11771423,0,True
180,11836959,0,True
181,11902495,0,True
182,11968031,0,True
183,12033567,0,True
184,12099103,0,True
185,12164639,0,True
186,12230175,0,True
187,12295711,0,True
188,12361247,0,True
189,12426783,0,True
190,12492319,0,True
191,12557855,0,True
192,12623391,0,True
193,12688927,0,True
194,12754463,0,True
195,12819999,0,True
196,12885535,0,True
197,12951071,0,True
198,13016607,0,True
199,13082143,0,True
200,13147679,0,True
201,13213215,0,True
202,13278751,0,True
203,13344287,0,True
204,13409823,0,True
205,13475359,0,True
206,13540895,0,True
207,13606431,0,True
208,13671967,0,True
209,13737503,0,True
210,13803039,0,True
211,13868575,0,True
212,13934111,0,True
213,13999647,0,True
214,14065183,0,True
215,14130719,0,True
216,14196255,0,True
217,14261791,0,True
218,14327327,0,True
219,14392863,0,True
220,14458399,0,True
221,14523935,0,True
222,14589471,0,True
223,14655007,0,True
224,14720543,0,True
225,14786079,0,True
226,14851615,0,True
227,14917151,0,True
228,14982687,0,True
229,15048223,0,True
230,15113759,0,True
231,15179295,0,True
232,15244831,0,True
233,15310367,0,True
234,15375903,0,True
235,15441439,0,True
236,15506975,0,True
237,15572511,0,True
238,15638047,0,True
239,15703583,0,True
240,15769119,0,True
241,15834655,0,True
242,15900191,0,True
243,15965727,0,True
244,16031263,0,True
245,16096799,0,True
246,16162335,0,True
247,16227871,0,True
248,16293407,0,True
249,16358943,0,True
250,16424479,0,True
251,16490015,0,True
252,16555551,0,True
253,16621087,0,True
254,16686623,0,True
255,16752159,0,True
256,16817695,0,True
257,16883231,0,True
258,16948767,0,True
259,17014303,0,True
260,17079839,0,True
261,17145375,0,True
262,17210911,0,True
263,17276447,0,True
264,17341983,0,True
265,17407519,0,True
266,17473055,0,True
267,17538591,0,True
268,17604127,0,True
269,17669663,0,True
270,17735199,0,True
271,17800735,0,True
272,17866271,0,True
273,17931807,0,True
274,17997343,0,True
275,18062879,0,True
276,18128415,0,True
277,18193951,0,True
278,18259487,0,True
279,18325023,0,True
280,18390559,0,True
281,18456095,0,True
282,18521631,0,True
283,18587167,0,True
284,18652703,0,True
285,18718239,0,True
286,18783775,0,True
287,18849311,0,True
288,18914847,0,True
289,18980383,0,True
290,19045919,0,True
291,19111455,0,True
292,19176991,0,True
293,19242527,0,True
294,19308063,0,True
295,19373599,0,True
296,19439135,0,True
297,19504671,0,True
298,19570207,0,True
299,19635743,0,True
300,19701279,0,True
301,19766815,0,True
302,19832351,0,True
303,19897887,0,True
304,19963423,0,True
305,20028959,0,True
306,20094495,0,True
307,20160031,0,True
308,20225567,0,True
309,20291103,0,True
310,20356639,0,True
311,20422175,0,True
312,20487711,0,True
313,20553247,0,True
314,20618783,0,True
315,20684319,0,True
316,20749855,0,True
317,20815391,0,True
318,20880927,0,True
319,20946463,0,True
320,21011999,0,True
321,21077535,0,True
322,21143071,0,True
323,21208607,0,True
324,21274143,0,True
325,21339679,0,True
326,21405215,0,True
327,21470751,0,True
328,21536287,0,True
329,21601823,0,True
330,21667359,0,True
331,21732895,0,True
332,21798431,0,True
333,21863967,0,True
334,21929503,0,True
335,21995039,0,True
336,22060575,0,True
337,22126111,0,True
338,22191647,0,True
339,22257183,0,True
340,22322719,0,True
341,22388255,0,True
342,22453791,0,True
343,22519327,0,True
344,22584863,0,True
345,22650399,0,True
346,22715935,0,True
347,22781471,0,True
348,22847007,0,True
349,22912543,0,True
350,22978079,0,True
351,23043615,0,True
352,23109151,0,True
353,23174687,0,True
354,23240223,0,True
355,23305759,0,True
356,23371295,0,True
357,23436831,0,True
358,23502367,0,True
359,23567903,0,True
360,23633439,0,True
361,23698975,0,True
362,23764511,0,True
363,23830047,0,True
364,23895583,0,True
365,23961119,0,True
