r,v,initial_rank,n_start,escaped,escape_steps,final_rank
0,3,14,65536,True,1,13
0,3,14,131072,True,2,13
0,3,14,196608,True,1,13
6,1,6,6,True,1,5
6,1,6,65542,True,48,5
6,1,6,131078,True,1,5
8,3,1,8,True,1,0
8,3,1,65544,True,53,0
8,3,1,131080,True,1,0
10,1,4,10,True,1,3
10,1,4,65546,True,50,3
10,1,4,131082,True,1,3
12,2,7,12,True,1,6
12,2,7,65548,True,47,6
12,2,7,131084,True,1,6
14,1,15,14,True,1,14
14,1,15,65550,True,39,14
14,1,15,131086,True,1,14
16,3,2,16,True,1,1
16,3,2,65552,True,114,1
16,3,2,131088,True,1,1
18,1,18,18,True,1,17
18,1,18,65554,True,36,17
18,1,18,131090,True,1,17
20,2,5,20,True,1,4
20,2,5,65556,True,111,4
20,2,5,131092,True,1,4
22,1,13,22,True,1,12
22,1,13,65558,True,41,12
22,1,13,131094,True,1,12
24,3,8,24,True,1,7
24,3,8,65560,True,108,7
24,3,8,131096,True,1,7
26,1,8,26,True,1,7
26,1,8,65562,True,108,7
26,1,8,131098,True,1,7
28,2,16,28,True,1,15
28,2,16,65564,True,38,15
28,2,16,131100,True,1,15
30,1,16,30,True,1,15
30,1,16,65566,True,38,15
30,1,16,131102,True,1,15
32,3,3,32,True,1,2
32,3,3,65568,True,157,2
32,3,3,131104,True,1,2
34,1,11,34,True,1,10
34,1,11,65570,True,105,10
34,1,11,131106,True,1,10
36,2,19,36,True,1,18
36,2,19,65572,True,35,18
36,2,19,131108,True,1,18
38,1,19,38,True,1,18
38,1,19,65574,True,35,18
38,1,19,131110,True,1,18
40,3,6,40,True,1,5
40,3,6,65576,True,154,5
40,3,6,131112,True,1,5
42,1,6,42,True,1,5
42,1,6,65578,True,154,5
42,1,6,131114,True,1,5
44,2,14,44,True,1,13
44,2,14,65580,True,102,13
44,2,14,131116,True,1,13
46,1,14,46,True,1,13
46,1,14,65582,True,102,13
46,1,14,131118,True,1,13
48,3,9,48,True,1,8
48,3,9,65584,True,151,8
48,3,9,131120,True,1,8
50,1,22,50,True,1,21
50,1,22,65586,True,32,21
