state_r,state_v,initial_rank,n_start,escaped,escape_steps,max_rank_reached,final_n
0,3,14,65536,True,1,14,32768
0,3,14,65536,True,1,14,32768
0,3,14,131072,True,2,14,32768
0,3,14,196608,True,1,14,98304
0,3,14,262144,True,3,14,32768
3,0,5,3,True,1,5,10
3,0,5,65539,True,1,5,196618
3,0,5,131075,True,1,5,393226
3,0,5,196611,True,1,5,589834
3,0,5,262147,True,1,5,786442
5,0,3,5,True,1,3,16
5,0,3,65541,True,1,3,196624
5,0,3,131077,True,1,3,393232
5,0,3,196613,True,1,3,589840
5,0,3,262149,True,1,3,786448
6,1,6,6,True,1,6,3
6,1,6,65542,True,48,115,20
6,1,6,131078,True,1,6,65539
6,1,6,196614,True,91,141,20
6,1,6,262150,True,1,6,131075
7,0,14,7,True,1,14,22
7,0,14,65543,True,1,14,196630
7,0,14,131079,True,1,14,393238
7,0,14,196615,True,1,14,589846
7,0,14,262151,True,1,14,786454
8,3,1,8,True,1,1,4
8,3,1,65544,True,53,52,4
8,3,1,131080,True,1,1,65540
8,3,1,196616,True,96,158,4
8,3,1,262152,True,1,1,131076
9,0,17,9,True,1,17,28
9,0,17,65545,True,1,17,196636
9,0,17,131081,True,1,17,393244
9,0,17,196617,True,1,17,589852
9,0,17,262153,True,1,17,786460
10,1,4,10,True,1,4,5
10,1,4,65546,True,50,159,5
10,1,4,131082,True,1,4,65541
10,1,4,196618,True,93,159,5
10,1,4,262154,True,1,4,131077
11,0,12,11,True,1,12,34
11,0,12,65547,True,1,12,196642
11,0,12,131083,True,1,12,393250
11,0,12,196619,True,1,12,589858
11,0,12,262155,True,1,12,786466
12,2,7,12,True,1,7,6
12,2,7,65548,True,47,47,40
12,2,7,131084,True,1,7,65542
12,2,7,196620,True,90,158,40
12,2,7,262156,True,1,7,131078
13,0,7,13,True,1,7,40
13,0,7,65549,True,1,7,196648
13,0,7,131085,True,1,7,393256
13,0,7,196621,True,1,7,589864
13,0,7,262157,True,1,7,786472
14,1,15,14,True,1,15,7
14,1,15,65550,True,39,130,44
14,1,15,131086,True,1,15,65543
14,1,15,196622,True,82,138,44
14,1,15,262158,True,1,15,131079
15,0,15,15,True,1,15,46
15,0,15,65551,True,1,15,196654
15,0,15,131087,True,1,15,393262
15,0,15,196623,True,1,15,589870
15,0,15,262159,True,1,15,786478
16,3,2,16,True,1,2,8
16,3,2,65552,True,114,114,8
16,3,2,131088,True,1,2,65544
16,3,2,196624,True,51,114,8
16,3,2,262160,True,1,2,131080
17,0,10,17,True,1,10,52
17,0,10,65553,True,1,10,196660
17,0,10,131089,True,1,10,393268
17,0,10,196625,True,1,10,589876
17,0,10,262161,True,1,10,786484
18,1,18,18,True,1,18,9
18,1,18,65554,True,36,134,58
18,1,18,131090,True,1,18,65545
18,1,18,196626,True,79,136,58
18,1,18,262162,True,1,18,131081
19,0,18,19,True,1,18,58
19,0,18,65555,True,1,18,196666
19,0,18,131091,True,1,18,393274
19,0,18,196627,True,1,18,589882
19,0,18,262163,True,1,18,786490
20,2,5,20,True,1,5,10
20,2,5,65556,True,111,114,10
20,2,5,131092,True,1,5,65546
20,2,5,196628,True,48,114,10
20,2,5,262164,True,1,5,131082
21,0,5,21,True,1,5,64
21,0,5,65557,True,1,5,196672
21,0,5,131093,True,1,5,393280
21,0,5,196629,True,1,5,589888
21,0,5,262165,True,1,5,786496
22,1,13,22,True,1,13,11
22,1,13,65558,True,41,159,11
22,1,13,131094,True,1,13,65547
22,1,13,196630,True,84,159,11
22,1,13,262166,True,1,13,131083
23,0,13,23,True,1,13,70
23,0,13,65559,True,1,13,196678
23,0,13,131095,True,1,13,393286
23,0,13,196631,True,1,13,589894
23,0,13,262167,True,1,13,786502
24,3,8,24,True,1,8,12
24,3,8,65560,True,108,114,80
24,3,8,131096,True,1,8,65548
24,3,8,196632,True,45,114,13
24,3,8,262168,True,1,8,131084
25,0,21,25,True,1,21,76
25,0,21,65561,True,1,21,196684
25,0,21,131097,True,1,21,393292
25,0,21,196633,True,1,21,589900
25,0,21,262169,True,1,21,786508
26,1,8,26,True,1,8,13
26,1,8,65562,True,108,112,80
26,1,8,131098,True,1,8,65549
26,1,8,196634,True,45,87,13
26,1,8,262170,True,1,8,131085
27,0,109,27,True,1,109,82
27,0,109,65563,True,1,109,196690
27,0,109,131099,True,1,109,393298
27,0,109,196635,True,1,109,589906
27,0,109,262171,True,1,109,786514
28,2,16,28,True,1,16,14
28,2,16,65564,True,38,87,88
28,2,16,131100,True,1,16,65550
28,2,16,196636,True,81,158,88
28,2,16,262172,True,1,16,131086
29,0,16,29,True,1,16,88
29,0,16,65565,True,1,16,196696
29,0,16,131101,True,1,16,393304
29,0,16,196637,True,1,16,589912
29,0,16,262173,True,1,16,786520
30,1,16,30,True,1,16,15
30,1,16,65566,True,38,130,88
30,1,16,131102,True,1,16,65551
30,1,16,196638,True,81,138,88
30,1,16,262174,True,1,16,131087
31,0,104,31,True,1,104,94
31,0,104,65567,True,1,104,196702
31,0,104,131103,True,1,104,393310
31,0,104,196639,True,1,104,589918
31,0,104,262175,True,1,104,786526
32,3,3,32,True,1,3,16
32,3,3,65568,True,157,158,16
32,3,3,131104,True,1,3,65552
32,3,3,196640,True,50,158,16
32,3,3,262176,True,1,3,131088
33,0,24,33,True,1,24,100
33,0,24,65569,True,1,24,196708
33,0,24,131105,True,1,24,393316
33,0,24,196641,True,1,24,589924
33,0,24,262177,True,1,24,786532
34,1,11,34,True,1,11,17
34,1,11,65570,True,105,127,106
34,1,11,131106,True,1,11,65553
34,1,11,196642,True,42,86,17
34,1,11,262178,True,1,11,131089
35,0,11,35,True,1,11,106
35,0,11,65571,True,1,11,196714
35,0,11,131107,True,1,11,393322
35,0,11,196643,True,1,11,589930
35,0,11,262179,True,1,11,786538
36,2,19,36,True,1,19,18
36,2,19,65572,True,35,55,116
36,2,19,131108,True,1,19,65554
36,2,19,196644,True,78,158,19
36,2,19,262180,True,1,19,131090
37,0,19,37,True,1,19,112
37,0,19,65573,True,1,19,196720
37,0,19,131109,True,1,19,393328
37,0,19,196645,True,1,19,589936
37,0,19,262181,True,1,19,786544
38,1,19,38,True,1,19,19
38,1,19,65574,True,35,159,116
38,1,19,131110,True,1,19,65555
38,1,19,196646,True,78,159,19
38,1,19,262182,True,1,19,131091
39,0,32,39,True,1,32,118
39,0,32,65575,True,1,32,196726
39,0,32,131111,True,1,32,393334
39,0,32,196647,True,1,32,589942
39,0,32,262183,True,1,32,786550
40,3,6,40,True,1,6,20
40,3,6,65576,True,154,158,20
40,3,6,131112,True,1,6,65556
40,3,6,196648,True,47,158,20
40,3,6,262184,True,1,6,131092
41,0,107,41,True,1,107,124
41,0,107,65577,True,1,107,196732
41,0,107,131113,True,1,107,393340
41,0,107,196649,True,1,107,589948
41,0,107,262185,True,1,107,786556
42,1,6,42,True,1,6,21
42,1,6,65578,True,154,156,20
42,1,6,131114,True,1,6,65557
42,1,6,196650,True,47,47,20
42,1,6,262186,True,1,6,131093
43,0,27,43,True,1,27,130
43,0,27,65579,True,1,27,196738
43,0,27,131115,True,1,27,393346
43,0,27,196651,True,1,27,589954
43,0,27,262187,True,1,27,786562
44,2,14,44,True,1,14,22
44,2,14,65580,True,102,129,23
44,2,14,131116,True,1,14,65558
44,2,14,196652,True,39,129,22
44,2,14,262188,True,1,14,131094
45,0,14,45,True,1,14,136
45,0,14,65581,True,1,14,196744
45,0,14,131117,True,1,14,393352
45,0,14,196653,True,1,14,589960
45,0,14,262189,True,1,14,786568
46,1,14,46,True,1,14,23
46,1,14,65582,True,102,127,23
46,1,14,131118,True,1,14,65559
46,1,14,196654,True,39,47,22
46,1,14,262190,True,1,14,131095
47,0,102,47,True,1,102,142
47,0,102,65583,True,1,102,196750
47,0,102,131119,True,1,102,393358
47,0,102,196655,True,1,102,589966
47,0,102,262191,True,1,102,786574
48,3,9,48,True,1,9,24
48,3,9,65584,True,151,158,160
48,3,9,131120,True,1,9,65560
48,3,9,196656,True,44,158,26
48,3,9,262192,True,1,9,131096
49,0,22,49,True,1,22,148
49,0,22,65585,True,1,22,196756
49,0,22,131121,True,1,22,393364
49,0,22,196657,True,1,22,589972
49,0,22,262193,True,1,22,786580
50,1,22,50,True,1,22,25
50,1,22,65586,True,32,159,154
50,1,22,131122,True,1,22,65561
50,1,22,196658,True,75,159,152
50,1,22,262194,True,1,22,131097
51,0,22,51,True,1,22,154
51,0,22,65587,True,1,22,196762
51,0,22,131123,True,1,22,393370
51,0,22,196659,True,1,22,589978
51,0,22,262195,True,1,22,786586
52,2,9,52,True,1,9,26
52,2,9,65588,True,151,158,160
52,2,9,131124,True,1,9,65562
52,2,9,196660,True,44,158,26
52,2,9,262196,True,1,9,131098
53,0,9,53,True,1,9,160
53,0,9,65589,True,1,9,196768
53,0,9,131125,True,1,9,393376
53,0,9,196661,True,1,9,589984
53,0,9,262197,True,1,9,786592
54,1,110,54,True,1,110,27
54,1,110,65590,True,1,110,32795
54,1,110,131126,True,1,110,65563
54,1,110,196662,True,1,110,98331
54,1,110,262198,True,1,110,131099
55,0,110,55,True,1,110,166
55,0,110,65591,True,1,110,196774
55,0,110,131127,True,1,110,393382
55,0,110,196663,True,1,110,589990
55,0,110,262199,True,1,110,786598
56,3,17,56,True,1,17,28
56,3,17,65592,True,99,114,184
56,3,17,131128,True,1,17,65564
56,3,17,196664,True,36,134,29
56,3,17,262200,True,1,17,131100
57,0,30,57,True,1,30,172
57,0,30,65593,True,1,30,196780
57,0,30,131129,True,1,30,393388
57,0,30,196665,True,1,30,589996
57,0,30,262201,True,1,30,786604
58,1,17,58,True,1,17,29
58,1,17,65594,True,99,112,184
58,1,17,131130,True,1,17,65565
58,1,17,196666,True,36,134,29
58,1,17,262202,True,1,17,131101
59,0,30,59,True,1,30,178
59,0,30,65595,True,1,30,196786
59,0,30,131131,True,1,30,393394
59,0,30,196667,True,1,30,590002
59,0,30,262203,True,1,30,786610
