d,k,c,omega,stable_count,cyclic_count,chaotic_count,unknown_count,unique_cycles,basin_entropy
2,2,1,CHAOTIC,1,0,99,0,0,0.0
2,2,2,STABLE,100,0,0,0,0,0.0
2,2,3,CHAOTIC,0,0,100,0,0,0.0
2,2,4,MIXED,0,0,0,100,0,0.0
2,2,5,CHAOTIC,1,0,99,0,0,0.0
2,2,6,CYCLIC,67,33,0,0,1,0.3658586660911317
2,2,7,CHAOTIC,0,0,100,0,0,0.0
2,2,8,MIXED,0,0,0,100,0,0.0
2,2,9,CHAOTIC,1,0,99,0,0,0.0
2,3,1,STABLE,100,0,0,0,0,0.0
2,3,2,CHAOTIC,0,0,100,0,0,0.0
2,3,3,CYCLIC,1,99,0,0,1,0.009949832493966457
2,3,4,CHAOTIC,1,0,99,0,0,0.0
2,3,5,CYCLIC,16,84,0,0,5,1.0922491663646938
2,3,6,CHAOTIC,0,0,100,0,0,0.0
2,3,7,CYCLIC,70,30,0,0,2,0.5444511319122488
2,3,8,CHAOTIC,0,0,100,0,0,0.0
2,3,9,CYCLIC,0,100,0,0,1,-1.000088900581841e-12
2,4,1,CHAOTIC,0,0,100,0,0,0.0
2,4,2,CHAOTIC,0,0,100,0,0,0.0
2,4,3,CHAOTIC,1,0,99,0,0,0.0
2,4,4,STABLE,100,0,0,0,0,0.0
2,4,5,CHAOTIC,1,0,99,0,0,0.0
2,4,6,CHAOTIC,1,0,99,0,0,0.0
2,4,7,CHAOTIC,0,0,100,0,0,0.0
2,4,8,MIXED,0,0,0,100,0,0.0
2,4,9,CHAOTIC,0,0,100,0,0,0.0
2,5,1,CYCLIC,6,6,88,0,2,0.19583831553558045
2,5,2,CHAOTIC,0,0,100,0,0,0.0
2,5,3,CYCLIC,3,11,86,0,5,0.4042956337376522
2,5,4,CHAOTIC,0,0,100,0,0,0.0
2,5,5,CYCLIC,1,25,74,0,3,0.5754723249004431
2,5,6,CHAOTIC,0,0,100,0,0,0.0
2,5,7,CYCLIC,20,13,67,0,4,0.3684136148750473
2,5,8,CHAOTIC,1,0,99,0,0,0.0
2,5,9,CYCLIC,14,30,56,0,8,0.9020792247828204
2,6,1,CHAOTIC,0,0,100,0,0,0.0
2,6,2,STABLE,100,0,0,0,0,0.0
2,6,3,CHAOTIC,0,0,100,0,0,0.0
2,6,4,CHAOTIC,2,0,98,0,0,0.0
2,6,5,CHAOTIC,0,0,100,0,0,0.0
2,6,6,CYCLIC,1,99,0,0,1,0.009949832493966457
2,6,7,CHAOTIC,2,0,98,0,0,0.0
2,6,8,CHAOTIC,0,0,100,0,0,0.0
2,6,9,CHAOTIC,1,0,99,0,0,0.0
2,7,1,CHAOTIC,3,0,97,0,0,0.0
2,7,2,CHAOTIC,0,0,100,0,0,0.0
2,7,3,CHAOTIC,2,0,98,0,0,0.0
2,7,4,CHAOTIC,0,0,100,0,0,0.0
2,7,5,CYCLIC,1,12,87,0,3,0.3410072667441123
2,7,6,CHAOTIC,0,0,100,0,0,0.0
2,7,7,CYCLIC,2,5,93,0,1,0.14978661367669954
2,7,8,CHAOTIC,0,0,100,0,0,0.0
2,7,9,CYCLIC,3,1,96,0,1,0.04605170185888091
